사용자,평점,댓글 내용,감정
kimsung__,1.5,홍철 없는 홍철팀.,부정
Jamongsoda,3,"너무 불행해… 슬프다 이 영화
천안함 사건에서 착안한건가…
미친 폭파범이야기가 아니었어
_
소리는 어디에나 존재하기에 그걸 이용한 폭파범 실제로 나타나지 않음 좋겠다
모두 평화롭고 행복하면 좋겠어..",긍정
성인,3.5,"나름 재미있었다.
모두 살릴 수 없다면 최대한 많이 살려야 하지 않았나. 그 진실만 알릴 수 있었다면..",긍정
sarusurfs,0.5,스토리에 거대한 구멍들이 스폰지 마냥 뚫려있는 느낌. 얼탱이 없는 전개. ‘사운드’테러의 농락. 어설픈 캐릭터 구성. 얼렁뚱땅 신파로 마무리풀칠... 개인적으로 출연배우들 때문에 크랭크인 때부터 기다렸던 영화라 배로 실망스러웠다.,부정
말주변,2,"재미도 없고 감동도 없고, 공감도 안되고 긴장도 안되고",부정
만추,3,정말 어려운 선택이다.,긍정
송시원,2,전반적인 설정과 소재가 납득되지 않음,부정
류크 김박봉나,1,"1. 그냥 빛에 반응하는 폭탄이라고 해도 아무 문제없음.

2. 정상훈은 왜 끝까지 설영이를 지켰나.

3. 김슬기는 왜 등장했는가.

4. 이종석은 왜 이상희를 노렸나.

5. 이종석은 조달환은 왜 용서했나

쓸게 너무 많아서 그냥 요까지만 쓰기로~~

-이민기: 내가 좋아할 때의 이민기.",부정
Riley,1.5,노잼,부정
명준,2,중반 이후 의미없어지는 소재,부정
자세히,2,"차돌박이를 물에 넣고 삶은 수육 같은 느낌..?
건물에서 떨어져도 터지지 않는 폭탄조끼는 뭐 방탄조끼야???",부정
Keonhyung Kim,1.5,"간만에 황당한 졸작
데시벨이라는 설정은 아무런 공감도 긴장감도 불러 오지 못하고 마무리",부정
bird’seye,2.5,<다크나이트 라이즈>급 티징에 낚인 피해자,중립
이아민,2,스포일러가 포함되어 내용을 생략했습니다.,부정
하얀너구리,2,앙심을 품은 이유가 쉬 설득 되지 않으니 영화의 동력이 자꾸만 처진다. 긴장감 대신 그저 심드렁. 주인공은 여러모로 불사신이다.,부정
이준서,1.5,심각한 역사왜곡과 형편없는 작품성.,부정
명성호,1.5,"제목의 소재는 초반에 다 소모하고 갑자기 납치극
추격, 그리고 올드한 신파..
결말은 제목과 전혀 상관없음. 심지어 테러범이 왜 소음감응 폭탄을 고안했는지도 동기도없고 막판폭탄은 모두가 붙으면 산다로 폭탄의 테마마저 갑자기 전환..
심지어 개그씬은..  대체 뭘말하고싶은걸까..
심지어 초반 써스펜스도 폭탄은 빵빵터지지만 죽은사람은 관객들이 누군지조차 인식도 못한 뭐시기소령뿐이다.
그저 애들끼리 콩알탄 터져서 놀래는거 수준.
영화의 분위기를 끌어올릴 놀이터씬에서도 그저 하하호호 하면서 이영화가 얼마나 무책임한지 알수있다.
누구하나 안죽는 폭탄테러속에 김새는 긴장감.
심지어 그 소리폭탄도 중반부터는 안나온다.
폭탄테러라는 소재면에서 더 테러라이브의 1억배쯤 하위호환.",부정
나이스매니아,3,"잠수함에서사건과 데시벨로사람들을테러하는
연관성없는전개 .. 꽃미남들사이에 김래원의
연기력만 축낸작품..",긍정
love n piss,2,정해진 이야기를 벗어나지 못한다. 곳곳에 끊어진 개연성도.,부정
왕밤빵,1,필요없는 소리들로 채워져 있다,부정
붉은대륙,3,나쁘진 않은데 그렇다고 썩 좋지도 않은 그럭저럭 괜찮은 킬링무비.,긍정
소리,0.5,"처음 보는 영환데 CJ갬성에
어디선가 많이 본 것 같은 느낌
이건 돈 받고 봐야한다. 내 시간..",부정
최성권,2.5,"최악의 cg, 오그라드는 연기, 부족한 스토리
이게 뭐야",중립
영걸이,0.5,또 속았다.. 장르가 뭔지 모를 짬뽕 신파,부정
따홍남,2,"겨우 이 정도 퀄리티로 상업영화로서 개봉할 수 있음에 깜짝 놀란 영화

의사 가운을 입은 이종석은 너무 이종석이었다",부정
삥꾸르빵빵,0.5,"이렇게 재미없는 한국영화를 영화관에서 본 건 처음인 것 같다
누구보다 잘 우는 편인데 얄팍한 서사에 눈물은커녕 어이가없었다
개연성이 처음부터 끝까지 하나도 없다
억지로 얼기설기 묶은 시나리오
게다가 대사도 안들림

이민기만 좋았음; 대사도 잘들리고 연기도 잘하더라",부정
Eugene,3,많이 허술하고 개연성이 떨어지면서 예상가능한 전개 그렇지만 이상하게 시간이 잘가고 잘 봐져요,긍정
펩시코크,2,부분부분 쫄깃하긴한데 내용에 실속은없는거같다,부정
이종민,2.5,신파 넣다가 영화 터집니다.,중립
장재강,2,원격으로 언제든 터트릴 수 있는게 폭탄인데 왜 굳이.,부정
zerom,1.5,영화관에서 코골고 자는 사람 봄,부정
걍미소,2,아까운 설정과 소재.. 정말 아깝다.. 그 중요 장면만 내놨어도 단편으로는 걸작이었을듯,부정
selene,2.5,이름을 그리 지어놓고 웬 이상한 요리를. 메인인줄 알았더니 고작 고명이더라. 차라리 사건의 발단이 더 나은 소재가 아닐지. 서스펜스도 없고 해소도 없고 깊이도 없는 맹탕.,중립
마틴,2.5,긴장하고 공감하기엔 무분별하게 막무가내로 터지는 폭탄들,중립
원령,1.5,어쩌라고... 데시벨 폭탄 뭐 어쩌라고.....,부정
내가 영화를 만났을 때,2.5,일상의 소음이 무기로 뒤바뀔 때,중립
HotdogworldPLZ.,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
on,0.5,"박병은 이종석 차은우 이민기
좋 타..
박병은이 진심 좋다..
폭탄 터지는 cg 너무 구림
이종석 차은우 얼굴합 댑악... 형제라니 너무 잘 어울림 ㅜ",부정
황혜선,2.5,이종석 차은우 연인인줄.. 열린영화닫힘,중립
P0LAR,2.5,신선한 소재에서 묵어지는 과정,중립
벨벳문,2.5,"고모랑 시간대 맞고 서로 안 본 영화를 고르다보니 선택된 영화. 약간 재밌고, 제복입은 이종석은 건조하게 예뻤다.

#221128
#CGV 대학로",중립
ᄀᄌᄉ,2,왜 데시벨인가,부정
라온필름 Laon Film,1,어느 순간부터 가족극으로 치닿는다.,부정
👻😈,3,한줄평 제복 이종석이랑 차은우는 진짜 잘생걌다,긍정
재범,1,데씨벨일 줄이야,부정
이승현,3,2022.11.20.📽,긍정
변즌,2,"영화 제목을 왜 데시벨로 지었을까..?
나만 스피드같은 긴장감을 기대했나?",부정
이웅희,3,"죽음 앞에 의연할 책임,
죽음을 받아들여야 할 책임,
결단할 책임, 침묵할 책임을
묵묵히 견뎌야 할 서로 다른 이유.",긍정
박선우,1,말같지도않다.,부정
택이,3,이 영화의 데시벨은 폭탄의 타이머를 줄이기에는 조금 부족하다.,긍정
오늘언니,3.5,생각해보자면 누가 생명을 좌지우지할 수 있지? 마음 안좋은 주제를 영화로 잘 엮은 느낌,긍정
노노,0.5,"와…. 도대체 주제가 뭔지 모르겠고
차은우 얼굴만 남았다",부정
박준,2,"2022.11.13. 롯데시네마성서 무대인사

왜 제목이 데시벨?",부정
l.d.w,2.5,예고편 그 이외를 다룬영화,중립
구미,3.5,영상 화보집이라는 점에서 3.5점 남김 형제 서사 때문에 한번 정도는 더 볼 것 같다,긍정
현지,2,한 가지에만 집중했다면 더욱 몰입감이 좋았을 텐데.. 분명 무거운 소재인데도 불구하고 굳이 필요 없는 웃음 코드를 넣어서 흐름이 끊기도록 한 게 아쉬웠다.,부정
maru,2,스포일러가 포함되어 내용을 생략했습니다.,부정
단백석,1.5,"시나리오 이종교배
⠀
흥미를 끄는 이야기와 하고 싶은 이야기의 간극은 늘 창작자의 고민거리입니다. 전자의 비중을 과하게 높이면 완급 조절이 없는 휘발성 서사로 빠지고, 후자만 늘어놓아서는 청자를 붙잡기 힘드니까요. 게다가 관객을 극장으로 이끄는 것과 관객이 만족스럽게 극장을 나서는 것이 둘 다 요구되는 상업영화라면 더더욱 절묘한 배합이 필요하겠지요.

『데시벨』을 끌고 가는 힘은 서스펜스입니다. 요인 암살로 단번에 이목을 끈 정체불명의 테러리스트가 이번엔 인파가 몰리는 곳곳에 폭탄을 설치했다고 예고한 상황. 그에게 대응할 수 있는 건 유일하게 연락이 닿는 퇴역군인과 우연히 말려든 기자뿐. 축구장에서 수영장까지 이리 뛰고 저리 뛰며 어떻게든 대형 사고를 막는 두 사람. 그런데 무차별 테러로 시작한 협박이 점점 도영 주변으로 좁혀지는데… 여기까지가 ‘흥미를 끄는 이야기'입니다.

상영 시간 110분의 반환점을 지나면서 등장하는 태성과 함께 영화는 새로운 국면으로 접어들어요. 비밀은 플래시백으로 조금씩 보여주던 한라함에 있었습니다. 하지만 본격적으로 ‘하고 싶은 이야기’에 들어서며 추진력이 급격히 떨어지다 보니, 『다크 나이트』가 떠오르는 양자택일 시퀀스로 클라이맥스를 펼쳐낸들 어련히 둘 다 살리겠거니 하는 마음으로 멀뚱히 보게 되네요. 후반부 중 기억에 남은 건 이종석 배우가 폭발력 넘치는 연기로 보여준 마각을 드러내는 장면이 전부였습니다.

마치 두 영화의 시나리오를 억지로 합친 것만 같아요. 전반부의 테러리즘 서스펜스와 후반부의 책임 공방 드라마가 좀처럼 맞물리지 않습니다. 또한, 긴박한 가운데 숨구멍을 트여주기 위해서인지 SNL에 가까운 콩트가 몇 차례 삽입됐는데… 아무리 봐도 사족에 가깝네요. 서사를 관통하는 핵심적인 대사를 받은 대오에게 굳이 배우의 기존 이미지를 답습하는 코미디까지 지워줘야 했을까요?

마지막으로 드는 의문은 결국 『데시벨』이라는 제목입니다. 100dB에 반응하는 폭약이나 사소한 소리에도 촉각을 곤두세워야 하는 잠수함 음탐사 등 음량과 연관된 설정이 산재했지만, 막상 극 중에는 유기적으로 엮이지 않아요. 하다못해 선내에서 왁자지껄하게 파티를 벌이다가 탐지에 실패하는 식의 무능한 지휘관 클리셰라도 가져왔다면 오히려 태성의 수단이 좀 더 설득력을 갖출 수도 있었겠지만… 이마저도 영화를 둘러싼 일련의 논란을 떠올리지 않을 수 없네요. 각본 윤색 과정에서 진퇴양난에 빠진 게 아니었을지 어렴풋이 짐작할 뿐입니다.",부정
뉴비,0.5,은우 얼굴이 대유잼,부정
이상용,2.5,중반까지 탄탄하게 쌓아올린 스릴러적 재미가 후반의 신파와 친절한 설명 덕에 와르르 무너진다.,중립
xoxosos,3.5,"전반적으로 연출이 촌스럽긴 한데
기대 1도 안 하고 봐서 그런가 재밌다ㅋㅋㅋㅋㅋㅋㅋ",긍정
김피디,3,한두가지만 고쳤으면 웰메이드로 갈 수 있었는데,긍정
김미주,3,잘생김. 잘생걌다. 존잘. 끝,긍정
Jei_P,2.5,마지막의 눈물겨운 장면으로 인해 한순간에 철없는 아이취급 받을 이종석 지못미...,중립
황대영,4,"너무 재미있게 봤음
결말이 좀 허무하지만 긴장감이 계속 지속됨
배우도 멋있고
유치하지만 잘 봤다",긍정
밴해워니,2,"내용, 연출 전부 2000년대 초반…?에 나왔을법한 영화, 촬영 구려요 오래되고 실력없는 촬영감독이 아무것도 하기 싫어서 기본에 맞춰서 냅다 찍은거 같아요.",부정
Beki,2,"데 시벨

이 흥미로운 소재를 가지고 whyrano....",부정
김광성,2.5,"이 영화의 큰 발견은 차은우가 배우로서 꽤나 가능성 있어보인다는 것.
아닌가.. 이종석이랑 비교되서인가...
잘 좀 합시다",중립
건땅,1.5,오버에 데시벨이 있으면 이미 100db 넘었다,부정
조니조니,2,속터진다.,부정
하나🌸,2.5,15♡,중립
박준현,3,개연성 부재와 억지 코믹씬으로 만든 총체적 난국을 수습하려 애쓴다,긍정
솖이,2.5,상영관을 나오는데 뭔가 아쉬운 느낌이 들었다. 근데 제목이 데시벨인거에 비해 관련된 장면의 많지 않다…재밌게는 봤는데 아쉬움이 느껴지는 영화… 배우들의 연기력은 정말 굳굳,중립
윤정원,1.5,데시벨이 아니라 잠수함,부정
전이재,2,<데시벨>은 오락적인 부분들이 많고 배우들의 연기도 인상적인데 왜이리 루즈하게 느껴질까?그리고 보는동안 어처구니 없는 또한 억지 개그코드가 삽입되서 그런지 뭔가 계속 엉성하게 느껴진다.,부정
hhs,2.5,오락영화로 홍보하면 안될것같은데... 첫단추부터 잘못꿴 느낌이다.,중립
한예준,2.5,간판으로 내걸었던 장기들을 단 하나도 제대로 발휘하지 못한다. 군중테러라는 소재를 제대로 활용 못한 것이 가장 아쉽다. 그러나 영화는 마치 전혀 아쉽지 않다는 듯 당당하게 요상한 결말을 내놓는다. 심오한 딜레마를 던져놓고 얼렁뚱땅 웅장하게 마무리 짓는 것이 요즘 유행인가보다. 그래도 기대했던 극도의 긴장감을 충족시켜주는 한 장면이 존재하는데 이 마저도 신선하진 않아서 장점이라고 보긴 어려울 거 같다.,중립
권대민,2.5,스토리 따로 소재 따로.. 그 와중에 한국은 왜 자꾸 코미디 감초 캐릭터를 못 놓는 건가. 후반부의 딜레마 스토리만 떼다가 영화로 만들었더라면 더 심도있었을 듯하다.,중립
예진,2,왜 데시벨인가,부정
싱요미,2,그래 김래원 혼자 애는 썼다만..,부정
darkice,1.5,"긴장감도 없고 주인공들 행동도 이해안가고 CG도 너무 티난다
전체적으로 너무 엉성하다",부정
양파,1,이것저것 우겨넣다 보니 펑 터져버린 감동 신파극,부정
하부,3,"2022.11.20.일 CGV여의도 돌비관
2024.02.09.목 2차 관람",긍정
🌞빈,3,남는건 이종석 김래원 해군 제복뿐,긍정
JangJunyoung,2.5,모든게 애매하네,중립
2022,3.5,무책임함과 오픈 엔딩은 전혀 다른 것.,긍정
힉비,3,이종석 잘생겼다,긍정
김도현,3.5,"사실 3점 주려고 했는데, 개연성 빼면 재밌게 봤어서 조금 더 드립니다.

p.s. 해군 멋있당..",긍정
홍성욱,0.5,올해 최악의 영화 혹평을 길게 썼다 욕 까지 나와 지웠다.감독님 하고 싶은소리는 뒤에서 시전하는게 아니라 앞에서 직선적이고 선명하게 하시는걸 배우시길 올해 최초로 본 시간이 아깝다.해군들께 위로를 전합니다.,부정
뇽이,4,"이종석으로 할 수있는거 다해줌 장발, 제복, 의사가운(?) 앤나 피땀눈물까지 다볼수잇음 +형제의 따랑..",긍정
지원,1.5,"차은우는 생각보다 괜찮았고
이종석은 생각조차 힘들다.

메시지도 있고 소재도 신선한데
이제 알맹이가 없는...",부정
MS,3,사운드테러라는 말은 빼도 되지 않았을까 싶다,긍정
연지,2.5,"이종석 차은우 얼굴 맛집 관계성 맛집

이런 긴장감 넘치고 스릴 있는 영화에서 잠깐 숨통 트이게 해주는 개그 캐릭터의 활약은 영화의 전체 100 중에 20 정도가 적당하다고 생각하는데 40~50을 웃돌고 있는 것 같다. 시도때도 없구만...",중립
안태준,2,신선한 재료로 요리한 상한 음식,부정
luckyhyh,3,"""시작은 독특한 사운드 테러 액션으로, 마무리는 평범한 복수액션영화로""

원인도 정체도 밝혀지지 않은 범인이 소음에 반응하는 폭탄으로 도심 한복판에서 테러를 감행한다는 독특한 소재로 영화초반 관객들을 강하게 흡수하고,

​테러범의 전방위적 폭탄테러와 이를 막으려는 주인공의 분투, 그리고 한꺼풀식 밝혀지는 감춰진 사실들이 어우러지며 극의 긴장감을 고조시킨다.

​여기에 액션영화에 걸맞는 스펙타클한 액션신과, 김래원 이종석이 보여주는 연기가 극의 몰입감을 더해준다.

​하지만 후반부로 갈수록 전형적인 폭탄 테러 영화를 벗어나지 못한 뻔한 전개로 일관하고,

​신파와 감동을 넘나드는 아슬아슬한 줄타기 서사가 전반부의 신선함과 긴장감을 살리지 못한점은 영화의 큰 단점이다.",긍정
가치,3.5,"마케팅을 굉장히 잘한 영화

1. 영화제목 ‘데시벨’
-> 테러, 재난 요소로 흥미를 끌었지만 영화 내용 전체를 관통하는 소재는 아님

2. 차은우
-> 분량 ㅡㅡ (난 차은우 보러 갔는데..)

그래도 기대를 안하고 가서 그런지 재밌게 봄.
어쩔 수 없는 상황의 감정선도 좋았음.
김래원 아저씨 너무 멋있었음. 최고.",긍정
YCLeo,3,"킬링타임용
좀 아쉽지만 그냥저냥",긍정
지오크,2.5,"폭탄시간 1분남았는데
신파극 5분 치는 일 없는 것 만으로도
만족",중립
소문 듣고왔습니다,1.5,개시벨,부정
김승언,3.5,긴장감은 제법임,긍정
ㅐㅐ,3.5,하…. 존심 상해 울었다,긍정
이진성,3,끝내야 할 때 끝내지 못해 별점 반 개를 날려먹었다.,긍정
여양님,3,형제들 얼굴보다가 배경이 부산인거 중반부 다돼서 앎ㅋㅋㅋㅋ근데 사투리가 뭔가 엉성한느낌?무튼 즙타임 너무 길어 10분 압수. 왜 데시벨로했냐는 평들많은데 어쨌든 어그로 마케팅 성공한듯. 일단 뭔가 되게 재밌어 보이잖음ㅋㅋㅋㅋㅋ,긍정
ㅇㅎ,3,중간까진 재밌었으나 마지막엔  신파 30%정도...? 하지만 전체적으론 정말 볼만함 - 차은우 겁나 잘생김...어떠한 연기를 해도 납득이 감..ㅎ,긍정
TJ,3.5,"폭탄테러 영화인줄 알았는데.. 데시벨은 이용당한 기분이 적잖이 들지만, 이영화의 가장(이자 유일한) 흥미로운 점은 배우들을 잘 뽑았다는 것이다. 망하지 않는다면 100퍼센트 배우들 덕분일듯.",긍정
송혜원,1.5,스포일러가 포함되어 내용을 생략했습니다.,부정
Duly,2.5,"고구마적 진행방법, 극의 흐름이 불안정하다
스포라 말하긴 그렇지만 앞뒤가 맞지 않는 부분도 다수",중립
박선영,4,"킬링타임용으로 아주 재밌다
나는 처음부터 끝까지 긴장감 속도감 좋았고 마지막도 괜찮았다.

벗 제목 연관성, 내용 흐름 등 하나 하나 꼬집어 보면 읭 스러운게 많지만ㅋㅋㅋㅋㅋ그냥 영화는 영화라고 생각하고 보면 꿀잼각.. 버드박스 영화처럼 한국영화가 긴장감주는 영화오랜만이라 오오오오오꿀잼이라 생각했음",긍정
페리,2.5,좀 더 쪼였으면.. 마지막엔 안타까웠지만,중립
수진,2,차은우 땜에 0.5점 더드림 아니진짜로..,부정
파랑,3,"전태룡 제발 내가 지키게 해주라
영화 2점 + 전태룡이라는 별 한 개",긍정
김동현,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
가을,4,"제목과 상관없는 영화
긴박한 테러 영화는 아니다.
뻔한듯 하지만 재밌게 관람했다.
명절때 tv에서 해주면 가족이랑 보기 좋을 듯하다.",긍정
박현욱,3.5,2022년 11월 17일,긍정
겨ㅕㅕㅕㄹ,2,"📆 2022.11.17
🎟 롯데시네마 영등포 2관",부정
지형근,0.5,어느샌가 영화의 제목은 의미가 없어진다. 루머가 사실로 드러난다.,부정
네리찌푸,2,한번쯤은 볼만한 영화 'ㅅ',부정
김예은,2.5,"한달전부터인가..
이종석나온다고 기대 엄청하던 영화였는데....
기대했던것보단 별로였다..
그냥 이종석이 잘생겼고 머 차은우도..
중간중간 정상훈이 웃겼던거말곤...
내용은 그닥,,,,",중립
😎😎😎,2.5,감금 시켜,중립
한혁근,0.5,"이 코멘트를 보았다면 도망쳐

내가 돈이 없어서 참는다.. 진짜 어휴..",부정
qíqí,2.5,... 3분을 줬으면 3분을 온전히 쓰세요 ...,중립
김수용,3,데시벨의 의미도 양자택일의 비극도 마지막 거수경례에 묻힌 아쉬운 작품,긍정
진형태,3,"1. 요즘 영화들은 부산사투리를 너무 과하게 구사하는 경향이 있다. 부산출신으로써 들을때마다 이질감 느껴짐.

2. 그럴싸한 시나리오지만 알맹이는 좀 헐렁한 느낌.

3. 굳이 제목을 데시벨로 할 필요가 있었나싶음.",긍정
Rew,2,데시벨?,부정
마뮤렌2,3,폭탄 테러 영화라 사운드 빵빵한 큰 화면 영화관에 최적화되어있어 시원하고 몰입감을 있는데 영화 제목에는 그닥 충실하지 않다.,긍정
민니,3,배우들 연기가 부족한 편집 촬영 연출을 다 케어함 ..... 소재는 좀 아깝고 국뽕은 아니고 재밌게 봄 의도적으로한 연출인지 모르겠는데 이종석 목소리가 다른 목소리처럼 나오다가 처음으로 이종석 목소리 딱 나올 때 너무 좋았음 ... 예고편이 키운 기대심과 다른 방향으로 진행되는 영화가 별점을 깎는 듯하고 엔딩크레딧 음악은 쌓아온 감정을 다 무너트린다 ..,긍정
뮤이,3.5,"새로운 시도를 했고 그걸 보면서 이해 안되는 부분들도 있지만 시간은 잘 간다.

(22.11.14 시사회)",긍정
해왕성,2,해운대 시절에서 발전한 게 하나도 없으면 어쩌자고,부정
ㅌㅌ,5,"시사회로 먼저봤는데 많은것을 생각하게 하는 영화같았습니다
그냥 단순 테러인줄 알았는데 이영화의 주제는 후반부더라구여
주조연 배우들 연기 다 너무 좋았고 특히 후반부 대립하는 김래원과 이종석의 연기가 좋아서 다시 관람할 예정입니다

+)배우들 비주얼도 훌륭합니다",긍정
leeh,0.5,너무 엉성해서 화가 난다. 빌런 미친놈인가? 생각하고 보는 편이 마음 편할 것. 이유 찾지마ㅜ,부정
moony,2,잘생긴 애들이 울면 왜 더 잘생겼냐ㅠ,부정
토라,3.5,"재밌다. 역시 한국영화평들은 믿을게 못됨.

영화 안봐도 내용 다 보일 것 같았고 그래서 더 재밌을 것 같았다. 재미로 보는 영환데 쉽고 간단하고 스릴있게 즐기다 가면 그만. 클리쉐많고 개연성없으면 더 재밌음.",긍정
박경준,5,"무조건 재밌을거임 안봐도 앎

+ 이건 그냥 남자의 가슴을 끓어 울리는 영화
스토리도 신박하고 긴장감 넘치면서 가끔식 주는 웃음
기가 막혔다",긍정
Lazyduck,2.5,"첫장면에서 차은우가 김래원은 자기보다 동생같이 생겼다고 했을때부터 잘못됨을 느꼈다

김래원 모 캡틴아메리카냐 혼자 마블인줄",중립
남윤수,1,감독 자신도 뭘 만들어야할지 갈피를 못잡았을 때 벌어지는 참사,부정
mr.park,2,"의미없는 폭발에 영화도 같이 침몰
이종석 선구안도 이번에는 삼진 먹은듯",부정
프니프니,2,선택에는 반드시 큰 책임이 따른다.,부정
한여인,2,"노력만으론 부족한 헐거운 스토리텔링
욕심만큼 아쉽다",부정
팜므파탈캣💜,0.5,"테러야, 군미스테리야.. 고증 엉망으로 그 두 개도 버거운데
개그, 신파는 왜 넣어서는…;;; 지금은 90년대가 아닌데..
250524 (0.6)
-
1. 형제를 한 훈련에, 저렇게 리스키하게 넣어도 되나?
2. 그.. 100dB이 저렇게 넘기 힘든 데시벨인가?? 내가 잘 몰라서 그러는데… 골 안들어가도 관중 응원이 일단 엄청.. 시끄럽지 않…나? 애플 워치 소음 경고가 90dB인데 기침만 크게해도 수시로 나오던데…
3. 멘사에 IQ 170인데 복수 작전이 너무.. 1년 준비가 짧았다 치더라도… 음…. 글쎄…. 음…… 스파이앱 깔아놓고 도청이며 뭐며 안해서 금방 다른 장비로 통화하고 해결하게 하는 허술함….
4. 데시벨 폭탄으로 동생을 기리고 싶었던 마음은 알겠는데… 니가 그렇게 짧고 작게 가버리는 바람에 동생은 아무도 기억 못하겄는디… 음…
5. 대놓고 어린이가 봐도 폭탄조끼 입고 들어오는데 국가적 행사장 그 어떤 경비도 저지를 않고 10분 넘게 연설하게 허용하는 보안상태.. 대기업 임원 (회장도 아니고) 출동만 해도 엄청 빡센 보안이 가동되는디… 음….. 음~~~ 음…
6. 요원 아저씨 초반부터 상황 알았으면서 인력 가동은 없는.. 제작비 부족인가
7. 아내가 경찰에 본인이 기자면 좀 더 색다른 서폿이 가능했을 것 같은데 SNL 개그 듀오로 소진된 탓에 캐릭터가 너무 애매함. 기자이면 하다못해 뭐 라이브를 켜든 뭘 하든 뭔가 더 할 수 있는게 많았을텐데 크리처로 따라다니다가 갑자기 이해하기 어려운 사명감? 으로 폭탄을 끌어안는 뜬금없는 장면. 뭔가 생명을 구하는 인물상도 아니고 처자식 있는데 테러 현장에서 자기 어린 아들한테 혼자 있으라하고 엉뚱한 곳으로 달려가는.. 그렇다고 특종으로 엄청 뭘 쓴 것도 아냐…",부정
평론가인척하는놈,2.5,후반부로 진행될수록 작품의 몰입도가 떨어진다,중립
Pyropia,1,소리는 그저 서사를 위한 도구였을 뿐.,부정
이준석,1,내 소중한 연등 시간을 박살냈다🤬,부정
조기범,1.5,"양두구육. 연출이 소재를 담아내지 못하며, 그 모든 것이 무의미하다.",부정
르네채,1,엔딩크레딧에 나오는 차은우의 ost 항해만 좋았다,부정
이드,1.5,차은우의 연기력이 늘었다 강남미인에서 보여줬던 모습과는 딴 판이다,부정
상록,2,"냉탕과 온탕사이를 왔다갔다하다
끝난다",부정
반성문을영어로하면글로벌,2,그렇게나 많은 폭탄을 설치했는데 어쩌다 터졌는지 터지기는 했는지 기억이 안나,부정
💚🩷,2,몰입이 잘 안된다.,부정
LiveWire,2.5,폭파씬들 보다 잠수함에서의 갈등상황이 더 볼만했다. 정상훈의 코믹 연기는 최악.,중립
카리소케,2,장르 이해도가 떨어진다. 긴박감은 어디가고 애처롭기만 하다.,부정
후루케가뜨,2.5,"생각보다 괜츈
다가도 유치뽕짝스럼에 별반개 아웃",중립
박지원,3,소재도 소재고 좀만 더 납득가게 만들지..,긍정
해사한케이쿤,2,"240208 설특선영화
주제부터 개연성이 없는 영화.",부정
happYness,0.5,구식 폭탄.,부정
싸바,1.5,뭐 대단한 동기도 아닌데 교차 편집으로 감추기까지 해서 주인공한테나 테러범한테나 감정 이입이 하나도 안 된다.,부정
jeon,0.5,"2024-01-31
쿠팡플레이
???",부정
거리,1,임팩트를 어떤 부분에서도 못내는 뻔한 아니 뻔뻔한 내용,부정
열이아빠,3,정상훈 배우의 개연성은 좀 많이 아쉽다. 감초도 아니고 동료도 아닌 애매한 위치. 긴장감을 끌고 가려는 의도였다면 아쉬운 선택.,긍정
박은우,1,한국영화의 과오,부정
래고,2,제목은 데시벨인데 정작 소리에 무지함,부정
조아용,2,감독님 지금은 2010년대가 아닙니다 ..,부정
하남시민,3.5,이종석 흑화가 된 정당성이 부족.,긍정
현숭,2,"연기에 몰입이 잘 안됐고, 내용도 신박하지 않았다.",부정
Teddy,1.5,발전없는 스릴러 영화의 한 예시. 모든 것들이 익숙하다.,부정
한지혜,1.5,데시벨이라는 제목에서 보여지듯 소음이 커지면 터지는 폭탄이라는 소재로 온갖 홍보는 다 해놓고서 막상 보면 하나도 관련 없는 이야기 투성이,부정
김민서,1.5,제목을 차지하기엔 조금 아쉬운 분량.,부정
쾌락승천,1.5,난 이게 해군 영화인줄은 꿈에도 몰랐다.,부정
Sei,2,제목부터 미스.,부정
아재소방,3,"영화의 주제는 데시벨이 아니라...극한의 공포에서 벌어지는 인간의 심리를 다루는 것 같다.
데시벨은 의미없다.

그리고 극한 상황에서 선택은 함장이 하겠지만.. 함장은 책임을 져야 하지 않겠냐..

영화 미드웨이에서 침몰하는 항공모함 일본군 함장 행동을 본을 받아야...""젊은 사람은 살아야 한다..""
명령은 함장이 내리지만...책임은 함장이 져야해...
그래야 부하들이 따르지 않을까?",긍정
이예원,2,"20230315
김래원 씨가 문제인가
이종석 씨가 문제인가",부정
돈만스키보드워리어,0.5,아,부정
탱구볼따구,2.5,"뻔한 스토리를 뻔하지 않게 하려 애쓰다보니 연결도, 긴장감도 산으로 갔다.",중립
특미구포,2,위태롭게 쌓아가던 소재를 한번에 무너뜨리는 뒷서사,부정
Seo Jun Lim,1.5,이들이 현장에 있었더라면 이렇게 제작했을지.,부정
멍게소린데,1,박병은 캐는 대체 왜잇는거예요,부정
슈퍼맨부인,1,김래원이랑 정상훈이 분노의 질주랑 노팅힐찍음,부정
강노래,3,해군 차은우 그리고 이민기.,긍정
군곰,2,"왜 하필 소리인가?
(명탐정 코난 극장판 16기 - 11번째 스트라이커)",부정
최성웅,2.5,이종석은 어디서나 전지전능하다. 이영화 포르노급이네 그냥 막 쑤셔댐... 줄거리 갈등 뭐 이런거 없노,중립
Montego,2.5,"캐릭터들의 매력이 없다
특히 정상호 나오는 씬은 너무 튄다",중립
샛별이,2.5,시험 2주전에 보는 영화 크흠 난 그냥 그랬는데 아빠랑 동생은 재밌었다고 함 ㅎ,중립
